SUKUNIMI;YHTEENSÄ
Korhonen;22699
Virtanen;22366
Mäkinen;20411
Nieminen;20332
Mäkelä;19112
Hämäläinen;18555
Laine;18096
Heikkinen;17497
Koskinen;17319
Järvinen;16313
Lehtonen;16187
Lehtinen;15134
Saarinen;14897
Salminen;14703
Heinonen;14459
Niemi;14385
Heikkilä;14256
Kinnunen;13935
Salonen;13920
Turunen;13438
Salo;13039
Laitinen;12775
Tuominen;12541
Rantanen;12508
Karjalainen;12382
Jokinen;12230
Mattila;12019
Savolainen;11206
Lahtinen;11160
Ahonen;10889
Ojala;10755
Leppänen;10743
Hiltunen;10055
Väisänen;10048
Leinonen;10040
Miettinen;10035
Kallio;9995
Aaltonen;9947
Pitkänen;9920
Manninen;9759
Hakala;9613
Anttila;9606
Koivisto;9564
Laaksonen;9310
Räsänen;9164
Hirvonen;9136
Lehto;9023
Laakso;8983
Toivonen;8882
Mustonen;8703
Rantala;8691
Aalto;8588
Nurmi;8483
Peltonen;8454
Moilanen;8336
Niemelä;8319
Seppälä;8238
Hänninen;8232
Pulkkinen;8208
Lappalainen;8001
Partanen;7972
Kettunen;7955
Saari;7928
Kauppinen;7788
Kemppainen;7767
Seppänen;7681
Koskela;7680
Lahti;7667
Salmi;7629
Ahola;7603
Huttunen;7481
Ikonen;7363
Suominen;7354
Aho;7310
Kärkkäinen;7294
Pesonen;7243
Halonen;7178
Mikkonen;7122
Johansson;7073
Koponen;7028
Nyman;7025
Peltola;6993
Oksanen;6960
Lindholm;6906
Vainio;6897
Niskanen;6869
Heiskanen;6863
Mikkola;6744
Immonen;6636
Koski;6625
Honkanen;6621
Nurminen;6567
Vuorinen;6556
Harju;6435
Kokkonen;6432
Rissanen;6412
Määttä;6347
Karppinen;6318
Mäki;6252
Laukkanen;6126
Rajala;6082
Heino;6067
Juntunen;6052
Rautiainen;6014
Jääskeläinen;5980
Parviainen;5970
Keränen;5899
Hartikainen;5895
Kangas;5885
Paananen;5830
Leino;5786
Karlsson;5783
Mäenpää;5729
Lindström;5661
Martikainen;5655
Ruotsalainen;5647
Hakkarainen;5593
